月份,名称,对应收款id,对应订单编号,退款美金,手续费美金,美金退款合计,退款原始金额,原始币种,运营,归属,订单付款时间,订单所属月份,争议费,类型,退款类型,运营.1
2024-12.01-12.31,鼎锋onerway手动退款,1863120818079670272,2412011516556442021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-01,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857842258272194560,2411170142103122021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867272516784246784,2412130210471212021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-13,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863550157636120576,2412021945549652021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-02,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1872062286471245824,2412260725446192021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-26,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1872156888112955392,2412261302215702021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-26,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858145526839910400,2411172149504622021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859677222475272192,2411220316157452021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-22,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862514766447517696,2411292305031912021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-29,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858890939561807872,2411192311501852021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864806450581614592,2412060657588182021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858828169852096512,2411191902259212021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862100418105319424,2411281945099502021484887,47.89,1,48.89,47.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-28,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858862521445126144,2411192118551432021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857919860370448384,2411170653071332021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
